Timestamp;Entrevistador;Longitude;Latitude;;;;;;;;;;;;;;;;;
11/13/2020 12:11;usapi;-38.7269591;-8.12577261;;;;;;;;;;;;;;;;;
11/13/2020 09:51;etuee;-38.7344554;-8.12183009;;;;;;;;;;;;;;;;;
11/13/2020 09:54;etuee;-38.7343775;-8.12232425;;;;;;;;;;;;;;;;;
11/13/2020 10:09;etuee;-38.73293752;-8.12496603;;;;;;;;;;;;;;;;;
11/13/2020 10:11;etuee;-38.7330565;-8.1248326;;;;;;;;;;;;;;;;;
11/13/2020 10:13;etuee;-38.7329346;-8.1248857;;;;;;;;;;;;;;;;;
11/13/2020 10:15;etuee;-38.7328006;-8.1249058;;;;;;;;;;;;;;;;;
11/13/2020 10:17;etuee;-38.732634;-8.1248505;;;;;;;;;;;;;;;;;
11/13/2020 10:19;etuee;-38.7326659;-8.1248565;;;;;;;;;;;;;;;;;
11/13/2020 10:20;etuee;-38.7324067;-8.1248053;;;;;;;;;;;;;;;;;
11/13/2020 10:21;etuee;-38.7323257;-8.1249545;;;;;;;;;;;;;;;;;
11/13/2020 10:44;etuee;-38.7282384;-8.1247713;;;;;;;;;;;;;;;;;
11/13/2020 10:47;etuee;-38.72813605;-8.12484758;;;;;;;;;;;;;;;;;
11/13/2020 10:50;etuee;-38.72762097;-8.12503659;;;;;;;;;;;;;;;;;
11/13/2020 10:53;etuee;-38.8058235;-8.0172218;;;;;;;;;;;;;;;;;
11/13/2020 10:56;etuee;-38.8058328;-8.017219;;;;;;;;;;;;;;;;;
11/13/2020 10:57;etuee;-38.8058314;-8.017223;;;;;;;;;;;;;;;;;
11/13/2020 10:59;etuee;-38.8058354;-8.0172307;;;;;;;;;;;;;;;;;
11/13/2020 11:00;etuee;-38.72738123;-8.12581789;;;;;;;;;;;;;;;;;
11/13/2020 10:58;htomt;-38.7344389;-8.1215362;;;;;;;;;;;;;;;;;
11/13/2020 11:04;htomt;-38.73399798;-8.122381386;;;;;;;;;;;;;;;;;
11/13/2020 11:06;htomt;-38.73395607;-8.12265275;;;;;;;;;;;;;;;;;
11/13/2020 11:15;htomt;-38.73289626;-8.124165223;;;;;;;;;;;;;;;;;
11/13/2020 11:17;htomt;-38.73284622;-8.124048421;;;;;;;;;;;;;;;;;
11/13/2020 11:21;htomt;-38.7329152;-8.123654765;;;;;;;;;;;;;;;;;
11/13/2020 11:22;htomt;-38.73278176;-8.12359211;;;;;;;;;;;;;;;;;
11/13/2020 11:25;htomt;-38.73275503;-8.123373385;;;;;;;;;;;;;;;;;
11/13/2020 11:28;htomt;-38.7327904;-8.123217649;;;;;;;;;;;;;;;;;
11/13/2020 11:30;htomt;-38.73276106;-8.123258008;;;;;;;;;;;;;;;;;
11/13/2020 11:32;htomt;-38.73278604;-8.123155204;;;;;;;;;;;;;;;;;
11/13/2020 11:33;htomt;-38.73271722;-8.122951859;;;;;;;;;;;;;;;;;
11/13/2020 11:36;htomt;-38.73261622;-8.122829567;;;;;;;;;;;;;;;;;
11/13/2020 11:50;htomt;-38.7286407;-8.125044;;;;;;;;;;;;;;;;;
11/13/2020 11:53;htomt;-38.7285369;-8.1255943;;;;;;;;;;;;;;;;;
11/13/2020 11:55;htomt;-38.7282669;-8.1257296;;;;;;;;;;;;;;;;;
11/13/2020 11:58;htomt;-38.7282018;-8.1257573;;;;;;;;;;;;;;;;;
